year;stat;country_code;value_min;value_mean;value_median;value_max
1971;TMAX;BJ;;;;
1971;TMAX;BS;;;;
1971;TMAX;CA;-88,88888888888889;26,878608604307132;31,706814906320776;56,111111111111114
1971;TMAX;CH;-76,66666666666667;24,164764079147638;-6,388888888888889;
1971;TMAX;CI;;;;
1971;TMAX;CN;-89,44444444444444;35,605398730168716;38,888888888888886;
1971;TMAX;CO;;;;
1971;TMAX;CR;;;;
1971;TMAX;CU;;;;
1971;TMAX;CY;28,333333333333332;;;
1971;TMAX;DK;-47,77777777777778;46,82677488268318;46,111111111111114;
1971;TMAX;DZ;3,888888888888889;;;
1971;TMAX;EE;-89,44444444444444;24,402806026482487;25,555555555555557;
1971;TMAX;ES;-78,88888888888889;44,76308526860498;44,583333333333336;
1971;TMAX;FI;-88,88888888888889;16,088217821242566;10,833333333333332;-7,222222222222222
1971;TMAX;FR;-77,22222222222223;20,56925418569254;40,27777777777778;
1971;TMAX;GB;-33,333333333333336;51,38417879392328;50,97222222222222;
1971;TMAX;GR;-43,333333333333336;45,45061728395062;50,0;
1971;TMAX;GT;;;;
1971;TMAX;HR;-71,66666666666667;20,73059360730594;23,333333333333332;
1971;TMAX;HU;-58,888888888888886;;;
1971;TMAX;IE;-10,555555555555555;54,02325818383657;53,333333333333336;
1971;TMAX;IM;4,444444444444445;53,29984779299847;51,666666666666664;
1971;TMAX;IR;-56,666666666666664;;;
1971;TMAX;IS;-81,66666666666667;19,354424874972825;21,11111111111111;
1971;TMAX;IT;-85,55555555555556;25,744769451598383;18,76068376068376;16,11111111111111
1971;TMAX;JP;-81,11111111111111;40,91047973391961;42,029914529914535;
1971;TMAX;LB;-12,222222222222221;;;
1971;TMAX;LU;-60,0;56,563165905631664;;
1971;TMAX;LV;-85,55555555555556;14,688602058846028;0,8333333333333334;
1971;TMAX;MR;;;;
1971;TMAX;MT;37,77777777777778;;;
1971;TMAX;MX;-51,666666666666664;42,762536778040925;40,0;
1971;TMAX;MY;;;;
1971;TMAX;NA;45,55555555555556;;;
1971;TMAX;NL;-60,0;53,885654490106546;53,11111111111111;
1971;TMAX;NO;-88,33333333333333;20,293095782469905;22,77777777777778;54,44444444444444
1971;TMAX;NZ;-30,555555555555557;;;
1971;TMAX;PA;;;;
1971;TMAX;PH;-28,88888888888889;;;
1971;TMAX;PL;-86,66666666666667;47,99315068493151;46,66666666666667;
1971;TMAX;PT;-25,555555555555557;;;
1971;TMAX;RU;-89,44444444444444;-1,1191652839044746;-0,05569222358890247;55,55555555555556
1971;TMAX;SE;-89,44444444444444;28,105293823516583;28,88888888888889;50,0
